,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,right face
0,happiness,26M_HA_C100.jpg,0,100,21M_FE_C100.jpg,m,right,23M_HA_C100.jpg
1,happiness,21M_HA_C100.jpg,0,100,24M_HA_C100.jpg,m,left,25M_FE_C100.jpg
2,happiness,23M_HA_C100.jpg,0,100,22M_HA_C100.jpg,m,left,24M_FE_C100.jpg
3,happiness,27M_HA_C100.jpg,0,100,26M_HA_C100.jpg,m,left,28M_FE_C100.jpg
4,happiness,22M_HA_C100.jpg,0,100,25M_HA_C100.jpg,m,left,23M_FE_C100.jpg
5,happiness,28M_HA_C100.jpg,0,100,26M_FE_C100.jpg,m,right,27M_HA_C100.jpg
6,happiness,24M_HA_C100.jpg,0,100,27M_FE_C100.jpg,m,right,28M_HA_C100.jpg
7,happiness,25M_HA_C100.jpg,0,100,22M_FE_C100.jpg,m,right,21M_HA_C100.jpg
8,fear,21M_FE_C100.jpg,0,100,27M_FE_C100.jpg,m,left,25M_HA_C100.jpg
9,fear,22M_FE_C100.jpg,0,100,23M_HA_C100.jpg,m,right,24M_FE_C100.jpg
10,fear,24M_FE_C100.jpg,0,100,21M_FE_C100.jpg,m,left,27M_HA_C100.jpg
11,fear,23M_FE_C100.jpg,0,100,21M_HA_C100.jpg,m,right,26M_FE_C100.jpg
12,fear,25M_FE_C100.jpg,0,100,24M_HA_C100.jpg,m,right,23M_FE_C100.jpg
13,fear,27M_FE_C100.jpg,0,100,28M_FE_C100.jpg,m,left,22M_HA_C100.jpg
14,fear,26M_FE_C100.jpg,0,100,22M_FE_C100.jpg,m,left,28M_HA_C100.jpg
15,fear,28M_FE_C100.jpg,0,100,26M_HA_C100.jpg,m,right,25M_FE_C100.jpg
16,happiness,08F_HA_C100.jpg,0,100,03F_FE_C100.jpg,f,right,02F_HA_C100.jpg
17,happiness,04F_HA_C100.jpg,0,100,06F_FE_C100.jpg,f,right,05F_HA_C100.jpg
18,happiness,06F_HA_C100.jpg,0,100,05F_FE_C100.jpg,f,right,04F_HA_C100.jpg
19,happiness,01F_HA_C100.jpg,0,100,08F_HA_C100.jpg,f,left,07F_FE_C100.jpg
20,happiness,03F_HA_C100.jpg,0,100,02F_FE_C100.jpg,f,right,06F_HA_C100.jpg
21,happiness,05F_HA_C100.jpg,0,100,01F_HA_C100.jpg,f,left,08F_FE_C100.jpg
22,happiness,02F_HA_C100.jpg,0,100,07F_HA_C100.jpg,f,left,04F_FE_C100.jpg
